,date,open,close,high,low,volume,money
0,2017-01-03 09:31,8.98,8.97,8.98,8.97,956066,8584506.00
1,2017-01-03 09:32,8.97,8.97,8.98,8.97,440090,3948021.00
2,2017-01-03 09:33,8.97,8.97,8.98,8.97,370902,3327457.00
3,2017-01-03 09:34,8.97,8.97,8.98,8.96,182712,1638685.00
4,2017-01-03 09:35,8.97,8.97,8.97,8.96,102363,917708.00
5,2017-01-03 09:36,8.96,8.96,8.97,8.96,153697,1377548.00
6,2017-01-03 09:37,8.96,8.97,8.97,8.96,175306,1571814.00
7,2017-01-03 09:38,8.97,8.97,8.97,8.96,137465,1232113.00
8,2017-01-03 09:39,8.96,8.97,8.97,8.96,157349,1410958.00
9,2017-01-03 09:40,8.96,8.96,8.97,8.96,201987,1810385.00
10,2017-01-03 09:41,8.96,8.97,8.97,8.96,183320,1644057.00
11,2017-01-03 09:42,8.96,8.97,8.97,8.96,189002,1694565.00
12,2017-01-03 09:43,8.97,8.97,8.97,8.96,689556,6184811.00
13,2017-01-03 09:44,8.97,8.98,8.98,8.97,740890,6646188.00
14,2017-01-03 09:45,8.98,8.97,8.98,8.97,529671,4755587.00
15,2017-01-03 09:46,8.97,8.98,8.98,8.97,863746,7753828.00
16,2017-01-03 09:47,8.98,8.99,8.99,8.98,1082371,9721593.00
17,2017-01-03 09:48,8.99,9.00,9.00,8.98,1116965,10043722.00
18,2017-01-03 09:49,9.00,9.00,9.01,8.99,776398,6986035.00
19,2017-01-03 09:50,9.00,9.01,9.01,8.99,733484,6601275.00
20,2017-01-03 09:51,9.01,9.02,9.02,9.01,1793435,16163524.00
21,2017-01-03 09:52,9.02,9.04,9.04,9.02,605251,5462965.00
22,2017-01-03 09:53,9.04,9.04,9.04,9.03,543468,4910379.00
23,2017-01-03 09:54,9.04,9.03,9.04,9.02,935268,8449202.00
24,2017-01-03 09:55,9.03,9.02,9.03,9.02,289944,2617432.00
25,2017-01-03 09:56,9.03,9.02,9.04,9.02,662368,5978024.00
26,2017-01-03 09:57,9.03,9.03,9.03,9.02,163436,1475477.00
27,2017-01-03 09:58,9.03,9.03,9.04,9.02,347872,3140112.00
28,2017-01-03 09:59,9.03,9.03,9.04,9.03,322307,2910734.00
29,2017-01-03 10:00,9.03,9.04,9.04,9.03,310234,2802443.00
30,2017-01-03 10:01,9.04,9.04,9.05,9.03,1486345,13439193.00
31,2017-01-03 10:02,9.05,9.04,9.05,9.04,482801,4366136.00
32,2017-01-03 10:03,9.05,9.03,9.05,9.03,376481,3403763.00
33,2017-01-03 10:04,9.04,9.04,9.04,9.03,318452,2877792.00
34,2017-01-03 10:05,9.04,9.04,9.04,9.03,148523,1342318.00
35,2017-01-03 10:06,9.03,9.03,9.04,9.03,199147,1798745.00
36,2017-01-03 10:07,9.03,9.03,9.04,9.03,187987,1698242.00
37,2017-01-03 10:08,9.04,9.04,9.04,9.03,592773,5356258.00
38,2017-01-03 10:09,9.04,9.04,9.04,9.03,317640,2869038.00
39,2017-01-03 10:10,9.03,9.04,9.04,9.03,168001,1518046.00
40,2017-01-03 10:11,9.04,9.04,9.04,9.03,130465,1179096.00
41,2017-01-03 10:12,9.04,9.04,9.04,9.03,243480,2200586.00
42,2017-01-03 10:13,9.04,9.03,9.04,9.03,131378,1187424.00
43,2017-01-03 10:14,9.04,9.04,9.04,9.03,104494,944358.00
44,2017-01-03 10:15,9.04,9.04,9.04,9.03,288727,2608823.00
45,2017-01-03 10:16,9.04,9.03,9.04,9.03,73653,665605.00
46,2017-01-03 10:17,9.03,9.03,9.04,9.03,228973,2068646.00
47,2017-01-03 10:18,9.03,9.03,9.04,9.03,74972,677064.00
48,2017-01-03 10:19,9.03,9.04,9.04,9.03,348177,3145670.00
49,2017-01-03 10:20,9.03,9.03,9.04,9.03,159074,1436805.00
50,2017-01-03 10:21,9.04,9.02,9.04,9.02,71624,646798.00
51,2017-01-03 10:22,9.02,9.03,9.03,9.02,136755,1234721.00
52,2017-01-03 10:23,9.03,9.04,9.04,9.03,52551,474760.00
53,2017-01-03 10:24,9.03,9.03,9.04,9.03,96175,868528.00
54,2017-01-03 10:25,9.03,9.03,9.04,9.02,56203,507538.00
55,2017-01-03 10:26,9.04,9.03,9.04,9.03,45653,412389.00
56,2017-01-03 10:27,9.03,9.04,9.04,9.03,277263,2505963.00
57,2017-01-03 10:28,9.04,9.04,9.04,9.03,65537,592193.00
58,2017-01-03 10:29,9.04,9.03,9.04,9.03,45957,415318.00
59,2017-01-03 10:30,9.03,9.04,9.04,9.03,165161,1491744.00
60,2017-01-03 10:31,9.03,9.04,9.04,9.03,240640,2173855.00
61,2017-01-03 10:32,9.04,9.03,9.04,9.03,237393,2144693.00
62,2017-01-03 10:33,9.04,9.04,9.04,9.03,150045,1355445.00
63,2017-01-03 10:34,9.04,9.03,9.04,9.03,81363,735326.00
64,2017-01-03 10:35,9.04,9.04,9.04,9.03,302220,2731601.00
65,2017-01-03 10:36,9.04,9.04,9.05,9.03,73754,666714.00
66,2017-01-03 10:37,9.04,9.03,9.04,9.03,127827,1154582.00
67,2017-01-03 10:38,9.04,9.03,9.04,9.03,51740,467493.00
68,2017-01-03 10:39,9.04,9.03,9.04,9.03,46363,418925.00
69,2017-01-03 10:40,9.04,9.04,9.04,9.03,19073,172321.00
70,2017-01-03 10:41,9.04,9.03,9.04,9.03,37841,341845.00
71,2017-01-03 10:42,9.04,9.03,9.04,9.03,54682,494179.00
72,2017-01-03 10:43,9.03,9.03,9.04,9.03,184538,1666347.00
73,2017-01-03 10:44,9.03,9.03,9.04,9.03,205842,1860382.00
74,2017-01-03 10:45,9.03,9.04,9.04,9.03,120320,1087464.00
75,2017-01-03 10:46,9.04,9.04,9.04,9.03,231813,2094015.00
76,2017-01-03 10:47,9.03,9.04,9.04,9.03,86841,784342.00
77,2017-01-03 10:48,9.04,9.03,9.04,9.03,57624,520715.00
78,2017-01-03 10:49,9.04,9.03,9.04,9.03,63305,571706.00
79,2017-01-03 10:50,9.04,9.03,9.04,9.03,30536,275846.00
80,2017-01-03 10:51,9.03,9.04,9.04,9.03,71218,643412.00
81,2017-01-03 10:52,9.03,9.03,9.04,9.03,176726,1596326.00
82,2017-01-03 10:53,9.03,9.03,9.04,9.03,252408,2280728.00
83,2017-01-03 10:54,9.03,9.04,9.04,9.03,185248,1674006.00
84,2017-01-03 10:55,9.03,9.03,9.04,9.02,156740,1415256.00
85,2017-01-03 10:56,9.03,9.03,9.03,9.02,200668,1810273.00
86,2017-01-03 10:57,9.03,9.02,9.03,9.02,78319,706911.00
87,2017-01-03 10:58,9.03,9.02,9.03,9.02,101247,913236.00
88,2017-01-03 10:59,9.03,9.02,9.03,9.02,118189,1066797.00
89,2017-01-03 11:00,9.03,9.02,9.03,9.02,157451,1420851.00
90,2017-01-03 11:01,9.02,9.02,9.03,9.02,222074,2004085.00
91,2017-01-03 11:02,9.03,9.02,9.03,9.02,30536,275544.00
92,2017-01-03 11:03,9.03,9.02,9.03,9.02,59957,541229.00
93,2017-01-03 11:04,9.02,9.02,9.03,9.02,64624,583281.00
94,2017-01-03 11:05,9.03,9.03,9.03,9.02,47174,425912.00
95,2017-01-03 11:06,9.03,9.03,9.03,9.02,37942,342505.00
96,2017-01-03 11:07,9.03,9.02,9.03,9.02,39768,358965.00
97,2017-01-03 11:08,9.03,9.02,9.03,9.02,57725,521052.00
98,2017-01-03 11:09,9.03,9.03,9.03,9.02,125697,1133991.00
99,2017-01-03 11:10,9.03,9.03,9.03,9.02,36725,331575.00
100,2017-01-03 11:11,9.03,9.02,9.03,9.02,50116,452192.00
101,2017-01-03 11:12,9.02,9.02,9.03,9.02,15116,136425.00
102,2017-01-03 11:13,9.03,9.02,9.03,9.02,55087,497116.00
103,2017-01-03 11:14,9.02,9.02,9.03,9.02,76899,694024.00
104,2017-01-03 11:15,9.03,9.02,9.03,9.02,338032,3049108.00
105,2017-01-03 11:16,9.03,9.02,9.03,9.02,120218,1085119.00
106,2017-01-03 11:17,9.02,9.02,9.02,9.01,333872,3008260.00
107,2017-01-03 11:18,9.01,9.01,9.02,9.01,68377,616140.00
108,2017-01-03 11:19,9.01,9.02,9.02,9.01,143146,1290603.00
109,2017-01-03 11:20,9.01,9.01,9.02,9.01,37841,341123.00
110,2017-01-03 11:21,9.01,9.02,9.02,9.01,188291,1697139.00
111,2017-01-03 11:22,9.01,9.01,9.02,9.01,91711,826584.00
112,2017-01-03 11:23,9.02,9.01,9.02,9.01,96986,873948.00
113,2017-01-03 11:24,9.02,9.00,9.02,9.00,152784,1376922.00
114,2017-01-03 11:25,9.02,9.00,9.02,9.00,97798,881844.00
115,2017-01-03 11:26,9.01,9.01,9.01,9.00,174393,1570792.00
116,2017-01-03 11:27,9.01,9.01,9.02,9.00,63914,575891.00
117,2017-01-03 11:28,9.02,9.01,9.02,9.01,94247,849377.00
118,2017-01-03 11:29,9.02,9.01,9.02,9.01,53160,478977.00
119,2017-01-03 11:30,9.01,9.01,9.01,9.00,72435,652335.00
120,2017-01-03 13:01,9.00,9.00,9.01,9.00,469612,4226497.00
121,2017-01-03 13:02,9.01,9.00,9.01,9.00,35609,320712.00
122,2017-01-03 13:03,9.00,9.01,9.01,9.00,52145,469586.00
123,2017-01-03 13:04,9.01,9.01,9.01,9.00,48797,439506.00
124,2017-01-03 13:05,9.01,9.01,9.01,9.00,42710,384714.00
125,2017-01-03 13:06,9.01,9.00,9.01,9.00,46768,421138.00
126,2017-01-03 13:07,9.01,9.00,9.01,9.00,78421,706378.00
127,2017-01-03 13:08,9.01,9.02,9.02,9.01,161610,1456048.00
128,2017-01-03 13:09,9.01,9.01,9.02,9.01,94146,848810.00
129,2017-01-03 13:10,9.02,9.01,9.02,9.00,145378,1309779.00
130,2017-01-03 13:11,9.01,9.01,9.01,9.00,45348,408550.00
131,2017-01-03 13:12,9.00,9.02,9.02,9.00,253219,2279307.00
132,2017-01-03 13:13,9.02,9.01,9.02,9.01,36421,328227.00
133,2017-01-03 13:14,9.01,9.02,9.02,9.01,12580,113444.00
134,2017-01-03 13:15,9.02,9.02,9.02,9.01,28812,259825.00
135,2017-01-03 13:16,9.02,9.02,9.02,9.01,53160,479439.00
136,2017-01-03 13:17,9.02,9.01,9.02,9.01,78827,710363.00
137,2017-01-03 13:18,9.02,9.01,9.02,9.01,18667,168271.00
138,2017-01-03 13:19,9.02,9.01,9.02,9.01,78827,710553.00
139,2017-01-03 13:20,9.02,9.02,9.02,9.01,39261,353936.00
140,2017-01-03 13:21,9.02,9.01,9.02,9.01,26276,236903.00
141,2017-01-03 13:22,9.01,9.02,9.02,9.01,39667,357664.00
142,2017-01-03 13:23,9.01,9.01,9.02,9.01,48797,439739.00
143,2017-01-03 13:24,9.02,9.01,9.02,9.01,39768,358598.00
144,2017-01-03 13:25,9.02,9.01,9.02,9.01,105508,950982.00
145,2017-01-03 13:26,9.01,9.01,9.02,9.01,42203,380410.00
146,2017-01-03 13:27,9.02,9.02,9.02,9.01,43421,391434.00
147,2017-01-03 13:28,9.01,9.02,9.02,9.01,35102,316576.00
148,2017-01-03 13:29,9.01,9.01,9.02,9.01,48899,440813.00
149,2017-01-03 13:30,9.02,9.01,9.02,9.01,49913,450119.00
150,2017-01-03 13:31,9.02,9.01,9.02,9.01,172668,1556748.00
